,timestamp,date,day number,weekends,activity number,segment,activity count
92,1570629600,2019-10-09 20:00:00,3,1,0,3,0
93,1570633200,2019-10-09 21:00:00,3,1,0,3,0
94,1570636800,2019-10-09 22:00:00,3,1,0,3,0
95,1570640400,2019-10-09 23:00:00,3,1,0,3,0
96,1570730400,2019-10-11 00:00:00,5,1,0,0,0
97,1570734000,2019-10-11 01:00:00,5,1,0,0,0
98,1570737600,2019-10-11 02:00:00,5,1,0,0,0
99,1570741200,2019-10-11 03:00:00,5,1,0,0,0
100,1570744800,2019-10-11 04:00:00,5,1,0,0,0
101,1570748400,2019-10-11 05:00:00,5,1,0,0,0
102,1570752000,2019-10-11 06:00:00,5,1,0,1,0
103,1570755600,2019-10-11 07:00:00,5,1,0,1,0
104,1570759200,2019-10-11 08:00:00,5,1,0,1,0
105,1570762800,2019-10-11 09:00:00,5,1,0,1,0
106,1570766400,2019-10-11 10:00:00,5,1,0,1,0
107,1570770000,2019-10-11 11:00:00,5,1,0,1,0
108,1570773600,2019-10-11 12:00:00,5,1,0,2,0
109,1570777200,2019-10-11 13:00:00,5,1,0,2,0
110,1570780800,2019-10-11 14:00:00,5,1,0,2,0
111,1570784400,2019-10-11 15:00:00,5,1,0,2,0
112,1570788000,2019-10-11 16:00:00,5,1,0,2,0
113,1570791600,2019-10-11 17:00:00,5,1,0,2,0
114,1570795200,2019-10-11 18:00:00,5,1,0,3,0
115,1570798800,2019-10-11 19:00:00,5,1,0,3,0
116,1570802400,2019-10-11 20:00:00,5,1,0,3,0
117,1570806000,2019-10-11 21:00:00,5,1,0,3,0
118,1570809600,2019-10-11 22:00:00,5,1,0,3,0
119,1570813200,2019-10-11 23:00:00,5,1,0,3,0
120,1570730400,2019-10-11 00:00:00,5,1,0,0,0
121,1570734000,2019-10-11 01:00:00,5,1,0,0,0
122,1570737600,2019-10-11 02:00:00,5,1,0,0,0
123,1570741200,2019-10-11 03:00:00,5,1,0,0,0
124,1570744800,2019-10-11 04:00:00,5,1,0,0,0
125,1570748400,2019-10-11 05:00:00,5,1,0,0,0
126,1570752000,2019-10-11 06:00:00,5,1,0,1,0
127,1570755600,2019-10-11 07:00:00,5,1,0,1,0
128,1570759200,2019-10-11 08:00:00,5,1,0,1,0
129,1570762800,2019-10-11 09:00:00,5,1,0,1,0
130,1570766400,2019-10-11 10:00:00,5,1,0,1,0
131,1570770000,2019-10-11 11:00:00,5,1,0,1,0
132,1570773600,2019-10-11 12:00:00,5,1,0,2,0
133,1570777200,2019-10-11 13:00:00,5,1,0,2,0
134,1570780800,2019-10-11 14:00:00,5,1,0,2,0
135,1570784400,2019-10-11 15:00:00,5,1,0,2,0
136,1570788000,2019-10-11 16:00:00,5,1,0,2,0
137,1570791600,2019-10-11 17:00:00,5,1,0,2,0
138,1570795200,2019-10-11 18:00:00,5,1,0,3,0
139,1570798800,2019-10-11 19:00:00,5,1,0,3,0
140,1570802400,2019-10-11 20:00:00,5,1,0,3,0
141,1570806000,2019-10-11 21:00:00,5,1,0,3,0
142,1570809600,2019-10-11 22:00:00,5,1,0,3,0
143,1570813200,2019-10-11 23:00:00,5,1,0,3,0
144,1570730400,2019-10-11 00:00:00,5,1,0,0,0
145,1570734000,2019-10-11 01:00:00,5,1,0,0,0
146,1570737600,2019-10-11 02:00:00,5,1,0,0,0
147,1570741200,2019-10-11 03:00:00,5,1,0,0,0
148,1570744800,2019-10-11 04:00:00,5,1,0,0,0
149,1570748400,2019-10-11 05:00:00,5,1,0,0,0
150,1570752000,2019-10-11 06:00:00,5,1,0,1,0
151,1570755600,2019-10-11 07:00:00,5,1,0,1,0
152,1570759200,2019-10-11 08:00:00,5,1,0,1,0
153,1570762800,2019-10-11 09:00:00,5,1,0,1,0
154,1570766400,2019-10-11 10:00:00,5,1,0,1,0
155,1570770000,2019-10-11 11:00:00,5,1,0,1,0
156,1570773600,2019-10-11 12:00:00,5,1,0,2,0
157,1570777200,2019-10-11 13:00:00,5,1,0,2,0
158,1570780800,2019-10-11 14:00:00,5,1,0,2,0
159,1570784400,2019-10-11 15:00:00,5,1,0,2,0
160,1570788000,2019-10-11 16:00:00,5,1,0,2,497
161,1570791600,2019-10-11 17:00:00,5,1,0,2,0
162,1570795200,2019-10-11 18:00:00,5,1,0,3,0
163,1570798800,2019-10-11 19:00:00,5,1,0,3,0
164,1570802400,2019-10-11 20:00:00,5,1,0,3,0
165,1570806000,2019-10-11 21:00:00,5,1,0,3,0
166,1570809600,2019-10-11 22:00:00,5,1,0,3,0
167,1570813200,2019-10-11 23:00:00,5,1,0,3,0
168,1570730400,2019-10-11 00:00:00,5,1,0,0,0
169,1570734000,2019-10-11 01:00:00,5,1,0,0,0
170,1570737600,2019-10-11 02:00:00,5,1,0,0,0
171,1570741200,2019-10-11 03:00:00,5,1,0,0,0
172,1570744800,2019-10-11 04:00:00,5,1,0,0,0
173,1570748400,2019-10-11 05:00:00,5,1,0,0,0
174,1570752000,2019-10-11 06:00:00,5,1,0,1,0
175,1570755600,2019-10-11 07:00:00,5,1,0,1,0
176,1570759200,2019-10-11 08:00:00,5,1,0,1,0
177,1570762800,2019-10-11 09:00:00,5,1,0,1,0
178,1570766400,2019-10-11 10:00:00,5,1,0,1,0
